Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
58,95.824,424,171,19,452,227,14,62.809,83.970,255,255
58,18.096,438,233,2,449,228,10,14.491,14.739,255,255
58,7.560,449,228,10,452,227,14,5.099,4.869,255,255
58,6.975,449,228,10,452,227,14,5.099,4.367,255,255
91,51.337,452,260,5,478,289,19,41.388,43.774,255,255
91,10.757,478,289,19,485,294,20,8.660,6.035,255,255
91,9.342,478,289,19,483,293,23,7.550,8.360,255,255
91,6.610,489,295,16,485,294,20,5.745,6.082,255,255
91,4.878,485,294,20,483,293,23,3.742,2.532,255,255
91,3.464,483,293,23,483,293,23,0.000,1.732,255,255
94,7.389,6,331,6,7,332,1,5.196,6.253,255,255
94,3.146,7,332,1,7,332,1,0.000,1.732,255,255
151,76.651,73,80,3,129,101,5,59.841,62.512,255,255
151,63.433,57,25,33,69,72,7,55.036,58.594,255,255
151,57.145,142,48,12,134,94,7,46.957,49.008,255,255
151,42.048,149,138,20,135,107,7,36.414,38.911,255,255
151,18.096,73,80,3,69,72,7,9.798,12.221,255,255
151,12.489,73,80,3,69,72,7,9.798,7.650,255,255
151,11.803,129,101,5,134,94,7,8.832,7.600,255,255
151,7.707,135,102,8,133,97,9,5.477,3.886,255,255
151,6.975,135,107,7,135,102,8,5.099,3.320,255,255
151,5.975,131,103,6,135,107,7,5.745,3.232,255,255
151,4.560,131,103,6,134,100,7,4.359,2.914,255,255
151,4.243,134,100,7,133,97,9,3.742,1.414,255,255
151,4.146,134,94,7,133,97,9,3.742,2.225,255,255
151,3.146,129,101,5,131,103,6,3.000,1.732,255,255
151,2.828,134,100,7,135,102,8,2.449,1.414,255,255
158,72.655,259,471,13,206,485,1,56.116,59.867,255,255
158,9.610,206,485,1,206,485,1,0.000,5.559,255,255
183,50.994,19,361,25,42,362,36,25.515,41.805,255,255
183,38.827,13,371,23,5,399,27,29.394,29.057,255,255
183,17.853,5,399,27,5,399,27,0.000,11.303,255,255
183,17.828,42,362,36,42,362,36,0.000,11.465,255,255
183,9.389,13,371,23,15,365,24,6.403,5.793,255,255
183,8.025,17,371,18,13,371,23,6.403,7.744,255,255
183,7.293,15,365,24,19,361,25,5.745,5.454,255,255
183,6.610,15,365,24,19,361,25,5.745,2.914,255,255
231,3.146,385,135,23,387,136,23,2.236,2.850,255,255
232,17.778,2,413,24,2,425,25,12.042,13.381,255,255
232,16.267,0,439,32,1,427,28,12.689,14.050,255,255
232,5.560,2,425,25,1,427,28,3.742,2.118,255,255
232,4.878,2,425,25,1,427,28,3.742,1.732,255,255
251,12.535,295,441,27,301,432,30,11.225,12.197,255,255
274,533.358,291,238,96,232,279,277,194.738,469.446,255,255
274,418.605,280,434,300,130,409,201,181.455,368.925,255,255
274,407.788,305,173,328,299,405,417,248.558,361.017,255,255
274,381.767,81,80,363,347,164,428,286.421,344.557,255,255
274,354.151,444,266,259,375,259,302,81.603,307.006,255,255
274,351.351,381,319,351,437,455,398,154.405,304.756,255,255
274,310.109,81,80,363,188,264,394,215.095,274.479,255,255
274,282.245,329,498,376,219,378,457,181.827,249.917,255,255
274,273.227,285,53,177,172,177,307,212.238,245.268,255,255
274,267.225,143,251,185,80,220,248,94.335,236.787,255,255
274,258.750,447,228,176,310,184,104,160.901,228.316,255,255
274,254.709,189,128,136,113,237,267,186.596,224.466,255,255
274,237.020,409,173,409,410,64,448,115.771,208.689,255,255
274,230.794,176,371,277,109,440,280,96.224,198.511,255,255
274,225.734,355,342,213,411,294,253,83.905,200.291,255,255
274,219.954,337,478,414,219,378,457,160.540,193.899,255,255
274,215.259,223,437,353,109,440,280,135.403,188.569,255,255
274,215.138,457,175,211,383,237,308,136.854,191.849,255,255
274,206.346,508,482,360,459,417,329,87.103,181.859,255,255
274,200.256,23,125,141,93,221,250,161.236,178.701,255,255
274,190.842,92,68,347,218,163,399,166.148,171.360,255,255
274,190.134,339,274,380,242,158,401,152.663,168.872,255,255
274,189.497,384,151,382,242,158,401,143.436,166.367,255,255
274,187.321,290,151,282,396,75,341,143.154,166.303,255,255
274,184.346,351,409,278,329,498,376,134.198,161.064,255,255
274,184.106,256,288,297,172,177,307,139.560,162.379,255,255
274,183.432,241,189,210,324,151,246,98.127,166.446,255,255
274,182.189,285,53,177,352,156,223,131.202,157.276,255,255
274,180.198,347,164,428,410,64,448,119.871,157.973,255,255
274,179.357,250,356,158,130,409,201,138.051,158.601,255,255
274,177.351,144,291,333,102,180,334,118.684,151.383,255,255
274,175.325,94,344,103,119,219,130,130.303,156.144,255,255
274,174.499,324,151,246,211,100,297,134.056,155.536,255,255
