Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,110.600,430.562,81.539,0,474.314,174.016,0,102.305,100.808,255,255
1,76.196,416.641,336.099,0,428.573,405.705,0,70.622,70.252,255,255
1,75.926,394.765,74.578,0,419.624,138.218,0,68.323,69.042,255,255
1,74.861,417.635,410.677,0,401.725,344.054,0,68.497,69.530,255,255
1,70.989,325.159,195.892,0,378.855,236.661,0,67.420,65.378,255,255
1,70.712,257.542,78.556,0,318.198,83.528,0,60.860,65.877,255,255
1,69.830,317.204,0.994,0,368.911,44.747,0,67.734,67.733,255,255
1,68.624,33.809,435.537,0,61.651,379.852,0,62.258,62.909,255,255
1,67.218,72.589,381.840,0,127.279,410.677,0,61.827,60.739,255,255
1,65.541,210.806,137.224,0,250.581,90.488,0,61.370,60.496,255,255
1,62.757,373.883,256.549,0,427.579,278.425,0,57.981,57.424,255,255
1,62.616,185.947,261.521,0,197.880,205.836,0,56.949,58.036,255,255
1,61.663,73.583,481.278,0,108.386,437.525,0,55.906,56.941,255,255
1,61.522,108.386,67.618,0,128.274,14.916,0,56.329,54.804,255,255
1,61.039,147.167,405.705,0,202.851,394.767,0,56.749,55.293,255,255
1,60.904,419.624,138.218,0,458.405,174.016,0,52.777,55.253,255,255
1,59.086,307.260,135.235,0,337.091,91.483,0,52.954,52.700,255,255
1,58.992,95.460,338.088,0,133.246,380.846,0,57.062,54.481,255,255
1,56.862,198.874,267.487,0,239.643,237.656,0,50.518,53.052,255,255
1,56.691,36.792,284.391,0,81.538,255.555,0,53.234,51.179,255,255
1,56.109,256.547,405.705,0,291.350,440.508,0,49.219,49.316,255,255
1,55.526,197.880,205.836,0,239.643,237.656,0,52.504,51.307,255,255
1,55.214,207.823,7.955,0,242.626,27.843,0,40.084,49.432,255,255
1,54.993,351.013,88.499,0,394.765,74.578,0,45.914,48.442,255,255
1,54.944,428.573,355.987,0,464.371,391.784,0,50.625,50.920,255,255
1,54.661,379.849,225.723,0,391.782,176.005,0,51.131,49.433,255,255
